URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,720,LAC,Jump ball: I. Zubac vs. K. Porziis (M. Kleber gains possession),0,DAL,,0,,,,,,,,,,,,,,,,,,,,,,,,I. Zubac - zubaciv01,K. Porziņģis - porzikr01,M. Kleber - klebima01
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,696,LAC,,0,DAL,D. Finney-Smith misses 2-pt jump shot from 17 ft,0,D. Finney-Smith - finnedo01,2-pt jump shot,miss,17,,,,,,,,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,693,LAC,Defensive rebound by P. George,0,DAL,,0,,,,,,,,,,P. George - georgpa01,defensive,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,690,LAC,Personal foul by T. Hardaway (drawn by R. Jackson),0,DAL,,0,,,,,,,personal,T. Hardaway - hardati02,R. Jackson - jacksre01,,,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,677,LAC,P. George misses 2-pt jump shot from 8 ft,0,DAL,,0,P. George - georgpa01,2-pt jump shot,miss,8,,,,,,,,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,675,LAC,,0,DAL,Defensive rebound by L. Doni,0,,,,,,,,,,L. Dončić - doncilu01,defensive,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,661,LAC,,0,DAL,L. Doni makes 2-pt jump shot from 11 ft,2,L. Dončić - doncilu01,2-pt jump shot,make,11,,,,,,,,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,636,LAC,Turnover by Team (shot clock),0,DAL,,2,,,,,,,,,,,,,,,,,,,,Team,shot clock,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,626,LAC,,0,DAL,L. Doni makes 3-pt jump shot from 25 ft,5,L. Dončić - doncilu01,3-pt jump shot,make,25,,,,,,,,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,608,LAC,I. Zubac misses 2-pt jump shot from 6 ft,0,DAL,,5,I. Zubac - zubaciv01,2-pt jump shot,miss,6,,,,,,,,,,,,,,,,,,,,,,
/boxscores/202105280DAL.html,playoff,American Airlines Center Dallas Texas,May 28 2021,9:30 PM,LAC,1,607,LAC,,0,DAL,Defensive rebound by L. Doni,5,,,,,,,,,,L. Dončić - doncilu01,defensive,,,,,,,,,,,,,,,
